 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    2700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2375.95743 2277.81094 2287.16054 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  748.97045  759.37060  346.90153  762.97446
    2800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2376.19679 2278.13011 2286.92776 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  750.73838  761.14038  346.24161  764.79899
    2900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2376.40886 2278.41271 2286.72107 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  752.30825  762.71189  345.65710  766.41907
    3000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2376.59682 2278.66306 2286.53751 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  753.70249  764.10759  345.13916  767.85787
    3100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2376.76348 2278.88493 2286.37447 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  754.94093  765.34734  344.68002  769.13587
    3200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2376.91131 2279.08164 2286.22964 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  756.04114  766.44871  344.27286  770.27120
    3300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.04247 2279.25611 2286.10096 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  757.01866  767.42725  343.91167  771.27990
    3400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.15886 2279.41089 2285.98662 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  757.88727  768.29677  343.59118  772.17620
    3500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.26219 2279.54825 2285.88502 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  758.65916  769.06948  343.30672  772.97270
    3600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.35393 2279.67017 2285.79472 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  759.34517  769.75621  343.05420  773.68057
